1901	1905	2044	2015	1888	1776	1569	1954	2050	2139
2134	2117	2113	2114	2133	2127	2121	2130	2125	2123
1324	1323	616	2136	343	1306	1317	1888	1905	2103
2030	700	742	2044	428	606	608	591	595	423
2148	1900	1895	2121	1892	2129	1907	410	398	389
2023	2006	2002	2015	1929	1918	2013	2044	2021	1947
1892	2079	2076	2074	2081	2072	2077	2073	2078	2075
1888	1887	1463	1434	1472	2081	2061	1464	1469	1509
2041	2034	2057	2032	2031	2027	2022	2047	2023	2040
2024	1886	2036	2067	2068	2132	2052	2023	2058	2066
