yellow	colour, color, |0.0|.1|2
hold	throw, have, make, give, direct, keep, maintain, restrain, confine, disable, incapacitate, bear, have, have, deem, see, consider, reckon, view, regard, bear, carry, contain, include, control, contain, check, curb, moderate, restrain, suppress, keep, continue, proceed, keep, harbor, entertain, nurse, feel, experience, affirm, verify, assert, aver, swan, swear, think, believe, consider, conceive, retain, keep, support, sustain*, capture, catch, captivate*, beguile, charm, fascinate*, entrance, enchant, restrain, suppress, keep, carry, bear, accommodate, admit, contain, take, be, prevail, obtain, exist, be, control, command, defend, guard, protect, declare, evaluate, judge, be, halt, arrest, stop, oblige, bind, obligate, relate, cover, carry, drink, booze, apply, refer, pertain, relate, concern, touch, reserve, book, request, bespeak, quest, defy, withstand, resist, withstand, prevent, keep, postpone, table, shelve, defer, aim, take, train, direct, agree, |0.0|.1|122
lock	fix, secure, engage, mesh, operate, move, displace, engage, hold, hug, bosom, squeeze, overwhelm, whelm, overcome, overtake, confine, pass, construct, build, make, |0.0|.1|21
pursue	prosecute, engage, act, move, follow, travel, go, move, search, seek, react, oppose, |0.0|.1|12
plunge	dive, plunk, descend, fall, dart, dash, scoot, flash, shoot, launch, begin, get, start, commence, dump, drop, dip, douse, steep, engulf, engross, absorb, concentrate, focus, center, centre, rivet, |0.0|.1|27
nationalize	nationalise, change, alter, modify, nationalise, change, alter, modify, |0.0|.1|8
organize	form, organise, make, create, organise, manage, deal, care, handle, engineer, direct, organise, plan, organise, coordinate, arrange, organise, prepare, devise, initiate, pioneer, organise, join, |0.0|.1|23
frown	lower, |0.0|.1|1
caution	warn, |0.0|.1|1
want	desire, need, require, be, demand, search, seek, miss, lack, |0.0|.1|9
shield	screen, protect, harbor, hide, conceal, |0.0|.1|5
travel	go, move, journey, trip, trip, journey, go, move, go, move, go, move, |0.0|.1|12
damage^	change, alter, modify, |-1.0|.1|3
revisit	return, |0.0|.1|1
machine	shape, form, work, forge, produce, make, create, |0.0|.1|7
chase	trail, tail, tag, track, pursue, follow, woo, court, romance, cut, cut, |0.0|.1|11
classify	class, sort, assort, separate, categorize, restrict, relegate, assign, attribute, |0.0|.1|9
backpedal	bicycle, cycle, bike, wheel, step, rethink, |0.0|.1|6
game	back, stake, bet, play, |0.0|.1|4
summon	cite, call, call, muster, rally, gather, garner, collect, mobilize, mobilise, marshal, gather, garner, collect, |0.0|.1|14
outlaw	forbid, prohibit^, veto, disallow, |0.0|.1|4
shore	bound, border, land, get, come, prop, hold, support, sustain*, |0.0|.1|9
destine	fate, doom, designate, ordain, intend, designate, specify, plan, |0.0|.1|8
charleston	dance, |0.0|.1|1
