yellow	colour, color, |0.0|.1|2
tote	lug, transport, carry, |0.0|.1|3
strew	spread, distribute, cover, |0.0|.1|3
rivet	concentrate, focus, center, centre, think, fix, secure, absorb, engross, engage, occupy, |0.0|.1|11
sear	scorch, heat, scorch, singe, burn, scorch, burn, dry, |0.0|.1|8
beckon	wave, gesture, motion, attract, appeal, summon, |0.0|.1|6
exit	leave, move, play, die, go, expire^, pass, conk, choke^, turn, |0.0|.1|10
refer	mention, cite, name, mean, pertain, relate, concern, touch, classify, class, sort, assort, separate, send, direct, consult, research, mean, intend, |0.0|.1|19
destroy	unmake, undo, ruin, demolish, overcome, defeat, kill, |0.0|.1|7
bias	prejudice, prejudice, |0.0|.1|2
lash	flog, whip, beat, swing, sway, whip, strike, tie, bind, |0.0|.1|9
power	provide, supply, ply, cater, |0.0|.1|4
relent	yield, soften, |0.0|.1|2
spring	jump, leap, bound, move, form, become, bounce, bound, rebound, recoil, jump, leap, bound, grow, develop, produce, get, acquire, disclose^, reveal, discover, expose, break, |0.0|.1|23
confide	disclose^, reveal, discover, expose, break, entrust, trust, commit, pass, hand, reach, give, |0.0|.1|12
package	box, case, |0.0|.1|2
rumpus	agitate, |0.0|.1|1
mean	intend, convey, imply, necessitate, intend, intend, think, will, wish, associate, relate, link, connect, intend, destine, designate, specify, |0.0|.1|17
burn	fire, destroy, ruin, glow, shine, beam, turn, bite, sting, smart, hurt^, feel, experience, execute, waste, blow, squander, smart, hurt^, treat, colour, color, cut, produce, make, create, consume, eat, deplete, exhaust, damage^, |0.0|.1|31
flaw	damage^, |0.0|.1|1
image	visualize, visualise, project, fancy, see, figure, picture, imagine, envisage, |0.0|.1|9
sneer	express, show, smile, |0.0|.1|3
party	celebrate, fete, |0.0|.1|2
lacquer	decorate, adorn, grace*, |0.0|.1|3
seal	close^, close^, shut, decide, determine, coat, surface, hunt, run, |0.0|.1|9
bubble	emit, breathe, ripple, sound, go, emit, breathe, |0.0|.1|7
survive	last, live, go, endure, overcome, defeat, exist, live, survive, |0.0|.1|9
yearn	long, desire, want, languish, long, treasure, |0.0|.1|6
complete	finish, end, terminate, fill, dispatch, accomplish*, execute, action, fulfill, fulfil, nail, play, |0.0|.1|12
secrete	release, exude, ooze, hide, conceal, |0.0|.1|5
outcrop	appear, |0.0|.1|1
plunk	sound, go, plump, dive, plunge, descend, fall, pluck, pick, pull, draw, force, |0.0|.1|12
cord	stack, pile, heap, tie, bind, |0.0|.1|5
buy	purchase, get, acquire, bribe, corrupt, pay, get, acquire, believe, be, |0.0|.1|10
amplify	enlarge, overstate, exaggerate, mislead, inflate, expand*, increase, intensify, compound, heighten, deepen, |0.0|.1|11
abuse	step, treat, handle, misuse, use, expend, shout, attack, round, assail, assault, use, expend, |0.0|.1|13
rush	hasten*, speed, race, travel, go, move, assail, assault, attack, hurry, urge, press, exhort, hasten*, hurry, act, move, run, race, move, displace, induce, stimulate, hasten*, effect, |0.0|.1|25
rescue	deliver, save, take, |0.0|.1|3
rag	torment, frustrate, harass, hassle, harry, chevy, beset^, plague, provoke, annoy, bother, irritate, rile, gravel, vex, devil, play, bait, taunt, rally, ride, mock, rebuke, jaw, lambaste, knock, criticize, criticise^, fragment, |0.0|.1|29
dirty	soil, change, alter, modify, |0.0|.1|4
whiz	sound, go, |0.0|.1|2
agree	hold, accept, consent, match, fit, correspond, check, gibe, tally, equal, be, accord, match, fit, correspond, check, gibe, tally, suit, agree, |0.0|.1|20
rust	decay, crumble, eat, damage^, |0.0|.1|4
detail	elaborate, enlarge, expand*, assign, specify, |0.0|.1|5
blink	suppress, subdue, conquer, curb, flash, twinkle, winkle, |0.0|.1|7
enrich	better, improve*, add, |0.0|.1|3
migrate	move, |0.0|.1|1
watch	observe, follow, check, view, see, catch, determine, check, see, learn, |0.0|.1|10
carve	cut, shape, form, work, forge, cut, cut, |0.0|.1|7
amuse	divert, entertain, cheer, |0.0|.1|3
cream	beat, scramble, bat, clobber, thrash, beat, crush, shell, vanquish, apply, remove, take, withdraw, modify, |0.0|.1|14
extract	pull, remove, take, withdraw, obtain, evoke, elicit, interpret, construe, see, distil, make, create, separate, express, get, acquire, excerpt, choose, take, select, calculate, compute, reckon, figure, |0.0|.1|25
graduate	receive, have, bestow, adjust, set, correct, |0.0|.1|6
clamour	clamor, express, utter, clamor, demand, |0.0|.1|5
request	bespeak, quest, communicate, pass, ask, wonder, inquire, |0.0|.1|7
annex	assume, seize, supplement, |0.0|.1|3
refund	return, repay, pay, |0.0|.1|3
rally	collect, mobilize, mobilise, call, muster, summon, gather, garner, collect, rebound, recover, rag, bait, taunt, ride, mock, |0.0|.1|16
gift	endow, invest, enable, give, present, |0.0|.1|5
middle	put, set, place, pose, position, lay, |0.0|.1|6
abdicate	resign^, |0.0|.1|1
menace	endanger, jeopardise, threaten^, imperil, peril, exist, be, express, show, act, behave, do, |0.0|.1|12
waive	relinquish, forgo, forfeit, forgo, abandon, |0.0|.1|5
dye	colour, color, |0.0|.1|2
have	hold, feature, experience, receive, get, undergo, own, possess, get, let, make, get, consume, take, interact, hold, throw, make, give, direct, experience, change, suffer, hurt^, induce, stimulate, cause, get, make, accept, take, get, acquire, receive, get, acquire, suffer, sustain*, get, experience, receive, get, undergo, get, make, score*, hit, tally, deliver, bear, birth, produce, take, love, know, screw, bed, bang, |0.0|.1|58
mass	crowd, |0.0|.1|1
abound	be, burst, have, feature, |0.0|.1|4
refuse	decline, react, respond, reject, decline, defy, resist, elude, escape, deny, keep, resist, reject, react, respond, reject, refuse, |0.0|.1|17
restate	repeat, reiterate, iterate, tell, |0.0|.1|4
reason	conclude, think, argue^, present, represent, think, |0.0|.1|6
evict	expel, eject, exclude, expel, eject, exclude, |0.0|.1|6
hunt	run, capture, catch, trace, chase, trail, tail, tag, dog, track, rouse, oscillate, search, seek, search, look, |0.0|.1|16
champion	defend, back, endorse, support, |0.0|.1|4
riot	revel, |0.0|.1|1
piddle	spend, pass, make, piss, eliminate, pass, |0.0|.1|6
tail	chase, trail, tag, dog, track, pursue, follow, dock, bob, cut, top, pinch, |0.0|.1|12
smile	express, show, |0.0|.1|2
pay	give, give, communicate, compensate, settle, digest, endure, stomach, bear, stand, tolerate, support, brook, abide, suffer, yield, bear, gain, clear, make, earn, realize, realise, make, be, give, devote, think, settle, repay, |0.0|.1|30
return	travel, go, move, give, revert, turn, reverse, recall, refer, bring, convey, take, reciprocate, transport, carry, repay, answer, reply, respond, reappear, refund, repay, pay, deliver, communicate, pass, elect, fall, pass, yield, give, generate, produce, make, create, submit, subject, |0.0|.1|37
specialise	specialize, work, specify, specialize, elaborate, enlarge, expand*, specialize, modify, specialize, narrow, change, alter, vary, specialize, evolve, |0.0|.1|16
trail	drag, lag, chase, tail, tag, dog, track, pursue, follow, shack, travel, go, move, train, drag, |0.0|.1|15
float	drift, blow, travel, go, move, swim, travel, go, move, transport, test, prove, try, examine, essay, travel, go, move, launch, smooth, value, convert, |0.0|.1|22
blockade	obstruct, block, embarrass, prevent, forestall, foreclose^, preclude, forbid, barricade, block, stop, bar, obstruct, impede, jam, block, obstruct, impede, jam, block, beleaguer, surround, |0.0|.1|22
falsify	distort, belie, manipulate, fake, cook, cheat^, turn, reverse, alter, edit, |0.0|.1|10
outnumber	total, number, come, amount, |0.0|.1|4
cable	telegraph, wire, fix, secure, |0.0|.1|4
accompany	travel, go, move, follow, play, company, companion, associate, affiliate, assort, |0.0|.1|10
age	develop, mature, develop, change, alter, modify, |0.0|.1|6
join	connect, link, tie, link, tie, connect, link, unite, |0.0|.1|8
sand	smooth, |0.0|.1|1
adjust	set, correct, change, alter, modify, align, reorient, conform, adapt*, change, adapt*, accommodate, decide, settle, resolve, |0.0|.1|15
facsimile	|0.0|.1|0
harry	harass, hassle, chevy, beset^, plague, provoke, annoy, rag, bother, irritate, rile, gravel, vex, devil, ravage, destroy, ruin, |0.0|.1|17
burnish	polish, smooth, shine, |0.0|.1|3
display	expose, exhibit, show, reveal, show, communicate, pass, woo, court, romance, |0.0|.1|10
pass	travel, go, move, travel, go, move, ordain, enact, lapse, advance, progress*, hand, reach, give, transfer, run, go, lead, extend, be, overtake, overhaul, advance, progress*, happen, occur, clear, succeed*, win*, spend, guide, run, draw, communicate, convey, transmit, communicate, fade, fleet, disappear, vanish, succeed*, win*, exceed, overstep, top, excel, evaluate, judge, let, allow, permit, change, sink, lapse, move, be, throw, fall, return, authorize, authorise, clear, permit, allow, let, die, go, exit, expire^, conk, choke^, turn, eliminate, expel, eject, release, |0.0|.1|77
steer	manoeuvre, direct, point, head, guide, channelise, control, command, control, command, guide, direct, |0.0|.1|12
clock	time, quantify, measure, |0.0|.1|3
section	segment, separate, divide, part, |0.0|.1|4
whiff	smell, blow, smoke, talk, speak, utter, mouth, |0.0|.1|7
center	refer, pertain, relate, concern, touch, concentrate, focus, centre, rivet, think, centre, move, displace, |0.0|.1|13
prevail	dominate, rule, reign, hold, obtain, exist, be, persist, run, endure, continue, triumph, win*, persuade, |0.0|.1|14
discourage	deter, reject, warn, advise, counsel, |0.0|.1|5
nurse	treat, harbor, hold, entertain, feel, experience, care, treat, handle, suck, feed, give, |0.0|.1|12
contrast	separate, tell, counterpoint, differ, |0.0|.1|4
full	beat, change, alter, modify, wax, increase, |0.0|.1|6
hash	|0.0|.1|0
savvy	grok, dig, compass, understand, |0.0|.1|4
leap	jump, bound, spring, move, jump, switch, shift, change, jump, move, jump, leap, |0.0|.1|12
vomit	cast, sick, spew, chuck, eliminate, pass, |0.0|.1|6
vacation	holiday, spend, pass, |0.0|.1|3
mound	shape, form, work, forge, |0.0|.1|4
experience	undergo, see, participate, know, live, undergo, see, receive, have, get, undergo, feel, have, change, |0.0|.1|14
pick	choose, take, select, pluck, gather, garner, collect, blame^, knock, criticize, criticise^, provoke, evoke, remove, take, withdraw, clean, remove, take, withdraw, rob, foot, pay, pluck, plunk, pull, draw, force, pierce, peck, strike, nibble, piece, eat, |0.0|.1|34
action	sue, process, challenge, accomplish*, execute, fulfill, fulfil, complete, finish, effect, |0.0|.1|10
warrant	justify, confirm, guarantee, back, endorse, support, |0.0|.1|6
mandate	delegate, designate, assign, order, prescribe, dictate, delegate, designate, assign, |0.0|.1|9
follow	travel, go, move, result, travel, go, move, comply, result, imitate, copy, simulate, be, adopt, espouse, choose, take, select, imitate, copy, simulate, trace, analyze, analyse, study, examine, canvas, watch, observe, check, succeed*, accompany, play, come, originate, arise*, rise, develop, uprise, grow, act, behave, do, practice, apply, use, be, survey, pursue, travel, go, move, understand, persist, |0.0|.1|54
stabilise	brace, steady, stabilize, strengthen, stabilize, change, stabilize, change, alter, modify, |0.0|.1|10
pearl	gather, garner, collect, |0.0|.1|3
archive	collect, |0.0|.1|1
company	companion, associate, affiliate, assort, |0.0|.1|4
spoil	botch, bumble, blow, mishandle, fail^, decay, corrupt, modify, pamper, baby, coddle, indulge, treat, handle, cross, frustrate, baffle, prevent, forestall, foreclose^, preclude, forbid, desire, want, rape, plunder, destroy, ruin, mar, damage^, |0.0|.1|30
doom	destine, fate, designate, ordain, sentence, condemn, declare, guarantee, ensure, insure, assure*, secure, |0.0|.1|12
expose	subject, disclose^, reveal, discover, break, tell, exhibit, display, show, uncover, disclose^, uncover, unveil, reveal, endanger, peril, affect, impact, touch, subject, debunk, guy, rib, abandon, forsake, desert, |0.0|.1|26
gravel	annoy, rag, bother, irritate, rile, vex, devil, cover, vex, stick, get, puzzle, baffle, beat, pose, bewilder, amaze, confuse, throw, befuddle, confound, |0.0|.1|21
send	direct, move, displace, transmit, transfer, transport, channel, channelise, mail, post, transfer, transport, ship, move, displace, station, post, base, place, move, displace, transfer, commit, charge, transfer, air, broadcast, beam, transmit, publicize, air, bare, |0.0|.1|32
learn	acquire, hear, discover, see, con, study, study, read, take, teach, instruct, inform, determine, check, see, watch, learn, |0.0|.1|17
knock	strike, bump, hit, strike, tap, pink, sound, go, pink, ping, sound, go, criticize, criticise^, comment, notice, remark, |0.0|.1|17
prompt	motivate, propel, move, cause, do, make, inspire, instigate, induce, stimulate, cause, have, get, make, remind, cue, inform, |0.0|.1|17
state	say, tell, express, utter, submit, propose, suggest, advise, express, refer, |0.0|.1|10
accept	evaluate, judge, take, have, get, acquire, consent, react, respond, react, respond, admit, take, take, have, bear, assume, take, swallow, digest, endure, stomach, bear, stand, tolerate, support, brook, abide, suffer, take, be, receive, have, take, react, respond, |0.0|.1|36
sense	feel, perceive, detect, observe, find, discover, notice, perceive, understand, |0.0|.1|9
dress	change, clothe, apparel, turn, finish, cook, fix, ready, make, prepare, position, trim, decorate, adorn, grace*, decorate, arrange, apply, clip, crop, trim, pare, trim, convert, treat, groom, curry, arrange, set, do, groom, |0.0|.1|31
enlarge	increase, increase, grow, elaborate, expand*, clarify, |0.0|.1|6
dismiss	disregard, discount, ignore, reject, drop, fire, can, sack, terminate, fire, can, sack, terminate, remove, dissolve, change, alter, modify, |0.0|.1|18
cling	adhere, stick, touch, meet, contact, hang, |0.0|.1|6
plant	set, put, set, place, pose, position, lay, embed, insert, enter, introduce, establish, found, constitute, institute, initiate, pioneer, stock, put, set, place, pose, position, lay, pass, |0.0|.1|25
disgrace	dishonour, shame, humble, discredit, |0.0|.1|4
plane	shave, cut, glide, smooth, |0.0|.1|4
wave	beckon, gesture, motion, flourish, move, displace, roll, move, twist, dress, arrange, set, do, |0.0|.1|13
resemble	match, fit, correspond, check, gibe, tally, agree, |0.0|.1|7
author	write, pen, |0.0|.1|2
haul	cart, drag, pull, draw, force, transport, carry, |0.0|.1|7
broadcast	air, send, beam, transmit, publicize, air, bare, seed, circulate, distribute, disseminate, spread, disperse, publicize, air, bare, |0.0|.1|16
wrench	twist, pull, wrestle, worm, twist, twist, distort, twist, turn, rick, injure, wound, |0.0|.1|12
deafen	soften, weaken, break, |0.0|.1|3
reply	answer, respond, state, say, tell, |0.0|.1|5
enhance	heighten, raise, intensify, compound, heighten, deepen, better, improve*, |0.0|.1|8
remind	prompt, cue, inform, |0.0|.1|3
trade	merchandise, exchange, change, interchange, sell, swap, switch, exchange, change, interchange, deal, sell, transact, |0.0|.1|13
mix	blend, flux, combine, merge, desegregate, integrate, mingle, change, alter, modify, compound, combine, add, shuffle, manipulate, |0.0|.1|15
paper	cover, |0.0|.1|1
decorate	adorn, grace*, change, alter, modify, deck, adorn, grace*, be, honour, reward*, dress, arrange, |0.0|.1|13
term	name, call, |0.0|.1|2
shudder	shiver, shiver, thrill, tremble, |0.0|.1|4
ally	associate, affiliate, assort, |0.0|.1|3
anger	arouse, elicit, kindle, evoke, fire, raise, provoke, feel, experience, |0.0|.1|9
imperil	endanger, jeopardise, menace, threaten^, peril, exist, be, |0.0|.1|7
misuse	use, utilize, utilise, apply, employ, abuse, use, expend, |0.0|.1|8
speculate	suppose, expect, anticipate, reason, ponder, contemplate, muse, reflect, mull, think, job, invest, put, commit, place, |0.0|.1|15
shop	obtain, patronize, frequent, sponsor, support, browse, search, seek, denounce, betray, grass, inform, |0.0|.1|12
label	designate, denominate, tag, mark, attach, pronounce, judge, declare, hold, separate, tell, separate, tell, |0.0|.1|13
aggrieve	wrong, grieve, afflict, |0.0|.1|3
found	establish, launch, open, establish, plant, constitute, institute, initiate, pioneer, establish, base, ground, found, |0.0|.1|13
find	happen, chance, bump, encounter, detect, observe, discover, notice, sight, regain, get, acquire, determine, feel, reason, conclude, witness, see, experience, undergo, see, get, acquire, discover, conceive, discover, learn, hear, discover, see, get, acquire, rule, pronounce, label, judge, receive, get, obtain, incur, change, perceive, recover, retrieve, regain, get, acquire, reach, make, attain, hit, gain, mature, grow, |0.0|.1|54
core	|0.0|.1|0
wedge	stick, deposit, fix, secure, squeeze, force, move, displace, |0.0|.1|8
catalogue	classify, class, sort, assort, separate, compile, |0.0|.1|6
finish	complete, end, terminate, act, move, end, stop, terminate, cease, coat, surface, eat, end, terminate, |0.0|.1|14
deepen	intensify, compound, heighten, increase, intensify, increase, enlarge, change, change, |0.0|.1|9
miss	lose^, desire, want, fail^, neglect, neglect, omit, drop, overlook, fail^, lack, escape, avoid, |0.0|.1|13
black	colour, color, |0.0|.1|2
research	search, explore, investigate, investigate, |0.0|.1|4
rise	lift, go, move, climb, grow, lift, look, appear, seem, surface, ascend, heighten, increase, originate, grow, become, change, wax, mount, climb, increase, jump, change, prove, grow, undertake, tackle, rebel, protest, resist, dissent, lift, |0.0|.1|32
drift	float, travel, go, move, stray, travel, go, move, roll, wander, swan, stray, roam, cast, ramble, range, travel, go, move, vary, exist, survive, live, circulate, float, crop, graze, change, accumulate, conglomerate, gather, |0.0|.1|31
claw	make, work, seize, clutch, scratch, scrape, attack, round, assail, assault, |0.0|.1|10
belie	negate, vary, diverge, depart, represent, |0.0|.1|5
qualify	suffice, do, answer, serve, pronounce, label, judge, restrict, modify, dispose, prepare, groom, train, stipulate, condition, specify, contract, undertake, characterise, remember, modify, add, |0.0|.1|22
murmur	talk, speak, utter, mouth, grumble, complain, kick, plain, |0.0|.1|8
drive	operate, control, motor, travel, go, move, move, displace, force, coerce, squeeze, pressure^, force, push, force, make, propel, throw, labor, labour, push, fight, struggle, get, aim, mean, intend, ride, work, travel, go, move, push, force, take, track, cover, cross, hit, hit, dig, power, hunt, run, hunt, run, |0.0|.1|46
loaf	idle^, slug, stagnate, lounge, linger, lurk, be, |0.0|.1|7
cancel	scratch, scrub, offset, balance, declare, hold, remove, take, withdraw, invalidate, score*, mark, |0.0|.1|12
fruit	bear, |0.0|.1|1
corrugate	fold, |0.0|.1|1
reverse	turn, change, invert, change, alter, modify, overturn, override, overthrow, rule, decree, revoke, lift, repeal, overturn, cancel, |0.0|.1|16
emblazon	color, colour, decorate, adorn, grace*, decorate, adorn, grace*, |0.0|.1|8
number	total, come, amount, be, designate, denominate, list, name, identify, count, classify, class, sort, assort, separate, count, enumerate, determine, find, limit, confine, |0.0|.1|21
sequester	take, attach, seize, take, change, withdraw, insulate, separate, disunite, divide, part, |0.0|.1|11
iron	press, press, |0.0|.1|2
tout	pronounce, label, judge, boast, brag, gas, blow, overstate, exaggerate, amplify, |0.0|.1|10
rail	inveigh, complain, kick, plain, confine, supply, provide, furnish, separate, divide, transport, train, ride, lay, fish, revile, abuse, shout, fulminate, denounce, |0.0|.1|20
differ	disagree, dissent, |0.0|.1|2
head	proceed, continue, lead, direct, lead, precede, lead, be, steer, manoeuvre, direct, point, guide, channelise, control, command, originate, arise*, rise, develop, uprise, grow, lie, form, remove, take, withdraw, |0.0|.1|27
leverage	supplement, supply, provide, furnish, |0.0|.1|4
towel	wipe, |0.0|.1|1
saint	fear, revere, declare, hold, |0.0|.1|4
nourish	nurture, sustain*, provide, supply, ply, cater, feed, give, |0.0|.1|8
anodize	coat, surface, |0.0|.1|2
lavish	shower, consume, squander, waste, ware, |0.0|.1|5
interview	question, discourse, discourse, discourse, |0.0|.1|4
rain	fall, |0.0|.1|1
defend	support, argue^, reason, prevent, keep, guard, hold, protect, fight, oppose, contend, fight, struggle, champion, back, endorse, support, represent, maintain, affirm, |0.0|.1|20
dismantle	level, destroy, destroy, strip, remove, take, withdraw, |0.0|.1|7
remember	retrieve, recall, think, will, leave, mention, cite, name, refer, mention, cite, name, refer, associate, relate, link, connect, commemorate, remember, |0.0|.1|19
revel	delight, enjoy*, celebrate, fete, |0.0|.1|4
suffocate	kill, stifle, choke^, obstruct, impede, jam, block, choke^, become, turn, choke^, stifle, stifle, die, go, exit, expire^, pass, conk, choke^, feel, choke^, strangle, suffer, hurt^, |0.0|.1|25
fight	contend, struggle, oppose, defend, contend, struggle, struggle, try, seek, attempt, essay, crusade, press, campaign, push, agitate, advertise, promote, push, |0.0|.1|19
depreciate	devalue, undervalue, devalue, decrease^, diminish, lessen, fall, |0.0|.1|7
sell	exchange, change, interchange, be, deal, trade, transact, persuade, surrender, cede, deliver, betray, be, be, |0.0|.1|14
taunt	rag, bait, rally, ride, mock, |0.0|.1|5
falter	hesitate, waffle, move, stumble, bumble, walk, bumble, talk, speak, utter, mouth, |0.0|.1|11
bustle	move, |0.0|.1|1
trill	pronounce, articulate, enunciate, say, sing, |0.0|.1|5
seize	clutch, take, take, appropriate, capture, conquer, assume, attach, sequester, take, assume, take, hook, clutch, overwhelm, whelm, overcome, overtake, grab, intrigue, fascinate*, |0.0|.1|21
cover	touch, meet, contact, continue, extend, be, satisfy, fulfill, fulfil, treat, handle, deal, address, initiate, embrace, include, track, cross, pass, report, inform, protect, protect, hide, conceal, protect, see, check, insure, ensure, control, assure*, insure, underwrite, guarantee, warrant, compensate, compensate, correct, endow, gift, invest, substitute, be, hide, conceal, hide, envelop, wrap, breed, mate, pair, couple, play, protect, reproduce, multiply, dress, clothe, apparel, |0.0|.1|60
bar	forbid, prohibit^, veto, disallow, barricade, block, blockade, stop, obstruct, impede, jam, block, relegate, expel, fix, secure, |0.0|.1|16
lounge	sit, loaf, linger, lurk, be, |0.0|.1|5
body	|0.0|.1|0
barrel	put, set, place, pose, position, lay, |0.0|.1|6
drag	pull, draw, force, haul, cart, pull, draw, force, tangle, sweep, involve, travel, go, move, trail, lag, draw, inspire, move, displace, shuffle, shamble, search, seek, persuade, proceed, go, |0.0|.1|27
word	formulate, phrase, articulate, express, show, |0.0|.1|5
golf	play, |0.0|.1|1
surpass	excel, outgo, exceed, outdo, outperform, beat, crush, shell, vanquish, pass, travel, go, move, exceed, surpass, |0.0|.1|15
freight	transport, charge, |0.0|.1|2
overwhelm	whelm, overcome, overtake, arouse, elicit, kindle, evoke, fire, raise, provoke, deluge, charge, saddle, burden, drown, cover, beat, crush, shell, vanquish, |0.0|.1|20
store	keep, keep, |0.0|.1|2
write	pen, communicate, publish, correspond, communicate, make, create, trace, draw, line, describe, record, tape, spell, |0.0|.1|14
stock	carry, stockpile, have, hold, equip, fit, outfit, supply, provide, furnish, supply, provide, furnish, supply, provide, furnish, supply, provide, furnish, sprout, grow, develop, produce, get, acquire, |0.0|.1|25
counsel	advise, discuss, |0.0|.1|2
distance	keep, maintain, hold, |0.0|.1|3
quiz	test, examine, |0.0|.1|2
beam	smile, shine, express, show, air, send, broadcast, transmit, publicize, air, bare, glow, shine, look, appear, seem, glow, shine, feel, experience, |0.0|.1|20
cease	stop, quit, end, stop, finish, terminate, cease, |0.0|.1|7
remedy	repair, correct, right, relieve, treat, |0.0|.1|5
gawp	goggle, gape, look, |0.0|.1|3
entrust	trust, confide, commit, pass, hand, reach, give, leave, pass, hand, reach, give, |0.0|.1|12
incapacitate	disable, change, alter, modify, disable, invalid, injure, wound, |0.0|.1|8
lease	rent, contract, undertake, rent, hire, charter, contract, undertake, let, rent, give, rent, hire, charter, engage, take, get, acquire, |0.0|.1|18
bank	tip, transact, act, work, deposit, give, cover, trust, swear, rely, believe, |0.0|.1|11
obscure	fog, cloud, mist, hide, conceal, confuse, blur, change, alter, modify, change, alter, modify, veil, hide, change, alter, modify, |0.0|.1|18
approach	near, come, act, move, come, address, |0.0|.1|6
project	communicate, transmit, transfer, transport, channel, channelise, show, draw, plan, design, propose, plan, visualize, visualise, fancy, see, figure, picture, image, imagine, envisage, cast, throw, send, direct, propel, assign, attribute, |0.0|.1|28
spirit	animate, |0.0|.1|1
unsettle	unnerve, upset, |0.0|.1|2
mute	muffle, dull, soften, |0.0|.1|3
dilute	thin, reduce, cut, weaken, stretch, corrupt, spoil, |0.0|.1|7
incur	subject, receive, get, find, obtain, change, |0.0|.1|6
compliment	congratulate, praise, greet, |0.0|.1|3
target	aim, place, direct, point, aim, take, train, direct, |0.0|.1|8
brew	soak, |0.0|.1|1
disallow	forbid, prohibit^, veto, command, require, compel, |0.0|.1|6
shoe	dress, clothe, apparel, |0.0|.1|3
improve*	better, change, alter, modify, better, turn, |1.0|.1|6
orient	point, lie, decide, determine, position, |0.0|.1|5
repaint	paint, paint, paint, |0.0|.1|3
scamp	perform, execute, do, |0.0|.1|3
crush	suppress, squash, mash, squeeze, press, beat, shell, vanquish, overcome, defeat, fragment, smash, demolish, humble, jam, bruise, change, alter, modify, break, separate, |0.0|.1|21
blaze	shine, beam, shoot, burn, depart, part, start, mark, |0.0|.1|8
load	lade, laden, fill, charge, fill, put, set, place, pose, position, lay, |0.0|.1|11
underperform	do, perform, perform, |0.0|.1|3
licence	license, certify, authorize, authorise, pass, clear, |0.0|.1|6
bell	attach, |0.0|.1|1
favour	favor, spare, save, privilege, favor, permit, allow, let, prefer, favor, promote, upgrade, advance, raise, favor, see, consider, reckon, view, regard, |0.0|.1|20
loan	lend, give, |0.0|.1|2
church	perform, |0.0|.1|1
belt	sing, hit, fix, secure, |0.0|.1|4
publish	print, produce, make, create, issue, release, publicize, air, bare, write, |0.0|.1|10
irritate	annoy, rag, bother, rile, gravel, vex, devil, worsen^, aggravate, exacerbate, exasperate, stimulate, excite, |0.0|.1|13
hit	propel, strike, touch, strike, affect, impact, touch, touch, reach, make, attain, gain, reach, attain, arrive, get, come, shoot, pip, injure, wound, strike, strike, attack, assail, succeed*, win*, strike, touch, stumble, score*, tally, gain, advance, win*, consume, take, have, murder, slay, dispatch, off, remove, kill, strike, move, displace, approach, |0.0|.1|48
contain	incorporate, comprise, include, hold, bear, carry, include, control, hold, check, curb, moderate, restrain, suppress, keep, be, take, hold, be, check, arrest, stop, defend, |0.0|.1|23
firm	tighten, tighten, |0.0|.1|2
fire	bake, can, dismiss, sack, terminate, remove, dispel, arouse, elicit, kindle, evoke, raise, provoke, make, create, burn, destroy, ruin, fuel, supply, provide, furnish, |0.0|.1|22
mine	exploit, tap, reinforce, |0.0|.1|3
silence	quieten, still, suppress, subdue, conquer, curb, suppress, subdue, conquer, curb, |0.0|.1|10
fund	finance, collect, accumulate, compile, supply, provide, furnish, invest, put, commit, place, collect, accumulate, compile, support, |0.0|.1|15
race	rush, hasten*, speed, travel, go, move, run, compete, vie, contend, act, move, rush, move, displace, |0.0|.1|15
brocade	weave, tissue, |0.0|.1|2
handle	manage, deal, care, control, command, treat, interact, cover, treat, deal, address, initiate, palm, touch, wield, manipulate, manipulate, control, |0.0|.1|18
budget	calculate, compute, reckon, figure, |0.0|.1|4
press	touch, urge, exhort, advise, counsel, weigh, count, matter, weigh, squeeze, compact, contract, tighten, mass, make, create, be, crusade, fight, campaign, push, agitate, advertise, promote, push, cast, push, push, force, iron, exercise, bid, conjure, plead, |0.0|.1|34
evaluate	measure, assess, value, judge, judge, think, |0.0|.1|6
kiss	buss, touch, touch, |0.0|.1|3
pound	thump, poke, hit, walk, beat, thump, move, restrain, confine, hold, confine, hold, fragment, |0.0|.1|13
hope	trust, desire, wish, desire, want, plan, |0.0|.1|6
back	endorse, support, approve, okay, sanction, travel, go, move, second, endorse, support, finance, lie, stake, game, bet, play, switch, shift, confirm, corroborate, sustain*, support, affirm, strengthen, |0.0|.1|25
withdraw	retreat, recede, retire, travel, go, move, retire, stop, cease, quit, release, relinquish, recall, take, swallow, sequester, insulate, remove, take, retire, close^, fold, retire, draw, remove, take, retire, tire, fatigue, retreat, withdraw, |0.0|.1|31
bind	adhere, bond, stick, attach, tie, attach, bond, relate, attach, fix, secure, restrain, confine, hold, oblige, hold, obligate, relate, adhere, bond, stick, cover, tie, fix, secure, |0.0|.1|25
launder	wash, clean, change, exchange, commute, convert, |0.0|.1|6
sound	look, appear, seem, go, announce, voice, pronounce, articulate, enunciate, say, quantify, measure, |0.0|.1|12
short	scam, con, make, create, |0.0|.1|4
fetch	bring, get, convey, transmit, transfer, transport, channel, channelise, bring, bring, convey, take, |0.0|.1|12
mail	send, post, send, transfer, |0.0|.1|4
read	interpret, construe, see, say, have, feature, talk, speak, utter, mouth, scan, interpret, construe, see, predict, foretell, prognosticate, call, anticipate, promise, take, interpret, construe, see, register, show, record, indicate, learn, study, take, understand, understand, interpret, translate, understand, |0.0|.1|36
