yellow	  1,discolor, discolour, colour, color
script	  1,write, compose, pen, indite
lead	  1, take, direct, conduct, guide,2,leave, result, produce, bring about, give rise,3,leave, result, 4, head,precede, 5,induce, stimulate, cause, have, get, make,6,run, go, pass,  extend,be,7,head, direct,8, top,9,contribute,  conduce,promote, advance, boost, further, encourage,10,conduct,  direct,perform, execute, do,11,spend, pass,12,go, be,13,precede, travel, go, move, locomote,14,run, pass, make pass,15,moderate, chair, hash out, discuss, talk over
finance	  1,pay,2,credit
chime	  1,sound, go
hang	  1,2, hang up,fasten, fix, secure,3, string up,execute, put to death,4,drop,5, fall, flow,6,be,7,attend,  advert, pay heed, give ear,listen,8,9,cling, grasp, hold on,10,11,obstruct, blockade, block, hinder, stymie, stymy, embarrass,12,decorate, adorn, grace, ornament, embellish, beautify,13,14,fasten, fix, secure,15,decompose, rot, molder, moulder
collar	  1, nail, apprehend, arrest, pick up, nab, cop,seize, prehend, clutch,2,seize, prehend, clutch,3,equip, fit, fit out, outfit
steal	  1,take,2, slip,move,3,gain, advance, win, pull ahead, make headway, get ahead, gain ground
storm	  1,ramp, rage, act, behave, do,2, force,penetrate, perforate,3,4,blow,5, surprise,attack, assail
finance	  1,pay,2,credit
recover	  1, retrieve, find, regain,get, acquire,2,recuperate,  convalesce,better, improve, ameliorate, meliorate,3, go back, recuperate,revert, return, retrovert, regress, turn back,4, recoup, recuperate,get, acquire,5,reclaim, recycle, reprocess, reuse,6,cover
erupt	  1, break out,begin, start,2, irrupt, flare up, flare, break open, burst out,intensify, deepen,3, ignite, catch fire, take fire, combust, conflagrate,change state, turn,4, come out, break through, push through,appear,5, belch, extravasate,explode, burst,6,break, burst, express emotion, express feelings,7,appear,8, recrudesce, break out,afflict, trouble, ail, pain
relieve	  1, alleviate, palliate, assuage,better, improve, amend, ameliorate, meliorate,2,take over, free, discharge,3,exempt,  free,4,still, allay,  ease,comfort, soothe, console, solace,5,salvage, salve,  save,rescue, deliver,6,unbosom, confide,7, lighten,mitigate,8,remedy, treat, care for,9,rid, free, disembarrass,10,take,11,excuse,  let off, exempt,absolve, justify, free
explode	  1, detonate, blow up, set off,change integrity,2, burst,change integrity,3,react, respond,4, burst forth, break loose,change state, turn,5,destroy, ruin,6,pronounce, articulate, enounce, sound out, enunciate, say,7,condemn,8,disprove, confute,9,detonate,  blow up,10, irrupt,increase
maximize	  1, maximise,increase,2, maximise,exploit, tap
rifle	  1,plunder, despoil, loot, reave, strip,  ransack, pillage, foray,take,2, go,search
treasure	  1,prize, value,  appreciate,see, consider, reckon, view, regard,2,care for, cherish, hold dear, love
convince	  1,convert, win over, persuade
double	  1, duplicate,multiply, manifold,2,hit,3,double over,  double up,bend, flex,4,function, work, operate, go, run,5,bid, call,6,duplicate, reduplicate,  repeat, replicate,reproduce
aim	  1, take, train, take  direct,position,2, purpose, purport, propose,intend, mean, think,3,drive, get, mean, intend,4,calculate,  direct,intend, destine, designate, specify,5,target,  place, direct, point, take, train, take  direct,6,mean, intend,7,draw a bead on, aspire,  shoot for,plan, be after
risk	  1, put on the line, lay on the line,try, seek, attempt, essay, assay,2,gamble, chance,  hazard, take chances, adventure, run a  take a chance,try, seek, attempt, essay, assay
silence	  1,hush, quieten,  still, shut up, hush up,suppress, stamp down, inhibit, subdue, conquer, curb,2,suppress, stamp down, inhibit, subdue, conquer, curb
strengthen	  1, beef up, fortify,change, alter, modify,2,change,3,tone, tone up, exercise, work out
import	  1,trade, merchandise,2,spell, mean, intend
delist	  1,get rid of, remove
clean	  1, make change, alter, modify,2, pick,remove, take, take away, withdraw,3,house clean house, tidy, tidy up, clean up, neaten, straighten, straighten out, square away,4,cleanse, groom, neaten,5,be,6,deprive, strip, divest,7, strip,remove, take, take away, withdraw,8,remove, take, take away, withdraw,9,scavenge, remove, take, take away, withdraw,10,remove, take, take away, withdraw
crop	  1,cut,2,cultivate,  work,fix, prepare, set up, ready, gear up, set,3,bear, turn out,4, graze, pasture,feed, give,5, browse, graze, range, pasture,feed, eat,6,snip, clip,  trim, lop, dress, prune, cut back,thin out
conform	  1,2,adjust,  adapt,change
chairman	  1,chair, head, lead
find	  1, happen, chance, bump, encounter,2,detect, observe,  discover, notice,sight,3, regain,get, acquire,4,determine,  find out, ascertain,5, feel,reason, reason out, conclude,6,witness,  see,experience, undergo, see, go through,7,line up, get hold, come up, get, acquire,8,discover, gestate, conceive, conceptualize, conceptualise,9,discover, learn, hear, get word, get wind, pick up, find out, get a line, discover, see,10,get, acquire,11,rule, pronounce, label, judge,12,receive, get,  obtain, incur,change,13,perceive, comprehend,14,recover, retrieve,  regain,get, acquire,15,reach, make, attain, hit, arrive at, gain,16,find oneself, mature, maturate, grow
add	  1,increase,2, append, supply,state, say, tell,3,lend, impart, bestow, contribute,  bring,change, alter, modify,4, add together,calculate, cipher, cypher, compute, work out, reckon, figure,5,total, tot, tot up, sum, sum up, summate, tote up,  add together, tally, add up,count, number, enumerate, numerate,6,form, constitute, make
reckon	  1,think, opine, suppose, imagine,  guess,expect, anticipate,2,calculate, estimate,  count on, figure, forecast,evaluate, pass judgment, judge,3,see, consider,  view, regard,think, believe, consider, conceive,4,calculate, cipher, cypher, compute, work out,  figure,reason,5,count, bet, depend, look, calculate, trust, swear, rely, bank,6, count,estimate, gauge, approximate, guess, judge
measure	  1, mensurate, measure out,decide, make up one's mind, determine,2,quantify, carry, convey, express,3,be,4, evaluate, valuate, assess, appraise, value,evaluate, pass judgment, judge
reach	  1, make, attain, hit, arrive at, gain,2, hit, attain,arrive, get, come,3, reach out,move,4, get through, get hold of, contact,communicate, intercommunicate,5,achieve, accomplish, attain, succeed, win, come through, bring home the bacon, deliver the goods,6, extend to, touch,be,7, make, get to, progress to,achieve, accomplish, attain, 8,pass, hand,  pass on, turn over, give,transfer,9,strive,  strain,tug, labor, labour, push, drive
channelise	  1,steer, maneuver, manoeuver, manoeuvre, direct, point, head, guide, channelize, control, command,2,channelize, construct, build, make,3,transmit, transfer, transport, channel, channelize, move, displace,4,channelize, straighten, straighten out
rarefy	  1,change, alter, modify,2, sublimate, subtilize,change, alter, modify,3, attenuate,weaken
endure	  1,digest,  stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up,permit, allow, let, countenance,2,weather,  brave, brave out,defy, withstand, hold, hold up,3,survive, last, live, live on, go,  hold up, hold out,4,suffer, experience, undergo, see, go through,5,wear, hold out, last, 6,last, measure,7,prevail, persist, die hard, run, continue
season	  1, flavor, flavour,2, harden,toughen,3,temper,  mollify,weaken
measure	  1, mensurate, measure out,decide, make up one's mind, determine,2,quantify, carry, convey, express,3,be,4, evaluate, valuate, assess, appraise, value,evaluate, pass judgment, judge
soar	  1, soar up, soar upwards, surge, zoom,rise, lift, arise, move up, go up, come up, uprise,2,hang glide, fly, aviate, pilot,3,fly, wing,4,rise, go up, climb,5,sailplane, glide
devalue	  1, devaluate,degrade, cheapen,2,change, alter, modify,3,depreciate, undervalue, devaluate, decrease, diminish, lessen, fall
coincide	  1, co-occur, cooccur,coexist,2,concur, happen, hap, go on, pass off, occur, pass, fall out, come about, take place,3,match, fit, correspond, check, jibe, gibe, tally, agree
lie	  1,be,2,3,dwell, consist,  belong, lie in,exist, be,4,be,5,misinform, mislead,6, rest,be,7,lie down, change posture
stone	  1, lapidate,kill,2,pit, remove, take, take away, withdraw
barter	  1,exchange, change, interchange
focus	  1,concentrate,  center, centre, pore, rivet,think, cogitate, cerebrate,2,sharpen,3,concenter, concentre, focalize, focalise, align, aline, line up, adjust,4, focalize, focalise,adjust, conform, adapt,5, focalize, focalise, sharpen,adjust, set, correct
lament	  1, keen,express emotion, express feelings,2,deplore,  bewail, bemoan,complain, kick, plain, sound off, quetch, kvetch
cost	  1, be,be,2,necessitate, ask, postulate, need, require, take, involve, call for, demand
stifle	  1,smother,  strangle, muffle, repress,suppress, stamp down, inhibit, subdue, conquer, curb,2, dampen,suppress, stamp down, inhibit, subdue, conquer, curb,3,suffocate,  asphyxiate, choke,obstruct, obturate, impede, occlude, jam, block, close up,4,suffocate,  asphyxiate,die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it
secure	  1,procure, obtain,2,fasten, fix, attach,3,guarantee, vouch,4,guarantee, ensure, insure, assure, 5,plug, stop up, close, fill up,6,batten, batten down, strengthen, beef up, fortify
insinuate	  1,bring in, introduce,2,intimate, adumbrate, hint, suggest
sack	  1, plunder,take,2,fire, give notice, can, dismiss, give the axe, send away,  force out, give the  terminate,remove,3,net,  sack up, clear,profit, gain, benefit,4,encase, incase, case
counterpoint	  1,contrast, differ,2,compose, write
gain	  1,derive, obtain,2,acquire, win, get, acquire,3,profit,  benefit,get, acquire,4,reach, make, attain, hit, arrive at, 5, advance, win, pull ahead, make headway, get ahead, gain ground,6,advance, wax, mount, climb, rise,7,increase,8, take in, clear, make, earn, realize, realise, pull in, bring in,get, acquire,9, put on,change state, turn
triple	  1, treble,multiply, manifold,2,hit
compile	  1,roll up, collect, accumulate, pile up, amass,  hoard,store, hive away, lay in, put in, salt away, stack away, stash away,2,compose, make,3,make
whistle	  1,sound, go,2,travel, go, move, locomote,3,communicate, intercommunicate,4,move, displace,5, sing,sound, go,6,sign, signal, signalize, signalise
revere	  1,idolize, idolise, worship, hero-worship, adore,2,reverence, fear,  venerate,respect, esteem, value, prize, prise
polarize	  1, polarise,change, alter, modify,2, polarise,separate, disunite, divide, part,3, polarise,separate, divide, part
email	  1,e-mail,  netmail,telecommunicate
medicine	  1,medicate, treat, care for
investigate	  1, look into,analyze, analyse, study, examine, canvass, canvas,2, inquire, enquire,probe, examine
cartoon	  1,draw
nibble	  1,bite, seize with teeth,2,bite, seize with teeth,3, pick, piece,eat
write	  1, compose, pen, indite,create verbally,2,communicate, intercommunicate,3,publish, create verbally,4, drop a line,correspond,5,communicate, intercommunicate,6,compose, make, create,7,trace, draw, line, describe, delineate,8,record, tape,9,spell, 10,create by mental act, create mentally
bar	  1, de exclude,forbid, prohibit, interdict, proscribe, veto, disallow,2,barricade, block, blockade, stop, block off, block up, obstruct, obturate, impede, occlude, jam, block, close up,3,banish, relegate, expel, throw out, kick out,4,fasten, fix, secure
dump	  1,discard, fling, toss, toss out, toss away, chuck out, cast aside, dispose, throw out, cast out, throw away, cast away, put away,2, ditch,get rid of, remove,3, underprice,sell,4,drop,5,plunge, drop,6,deck, coldcock,  knock down, floor,beat
achieve	  1, accomplish, attain, reach,succeed, win, come through, bring home the bacon, deliver the goods
overhaul	  1,pass, overtake, advance, progress, pass on, move on, march on, go on,2, modernize, modernise,regenerate, renew
arrive	  1, get, come,2, make it, get in, go far,succeed, win, come through, bring home the bacon, deliver the goods
achieve	  1, accomplish, attain, reach,succeed, win, come through, bring home the bacon, deliver the goods
gap	  1, breach,open, open up
chamber	  1,house, put up, domiciliate
heap	  1,give,2,stack, pile, arrange, set up,3,fill, fill up, make full
pollute	  1, foul, contaminate,dirty, soil, begrime, grime, colly, bemire
decline	  1,worsen, change state, turn,2,refuse, reject, pass up, turn down, 3,refuse, react, respond,4, go down, wane,decrease, diminish, lessen, fall,5,drop,6, slump, correct,descend, fall, go down, come down,7,inflect
spirit	  1, spirit up, inenliven, liven, liven up, invigorate, animate
learn	  1, larn, acquire,2, hear, get word, get wind, pick up, find out, get a line, discover, see,3,memorize, memorise, con, study, hit the books,4, study, read, take,5,teach,  instruct,inform,6,determine, check, find out, see, ascertain, watch, learn
determine	  1, find, find out, ascertain,2, shape, mold, influence, regulate,cause, do, make,3, set,4,specify, set,  fix, limit,choose, take, select, pick out,5,decide, make up one's mind, 6,specify, define, delineate, delimit, delimitate,7,settle, square off, square up, conclude, resolve,8, check, find out, see, ascertain, watch, learn
orbit	  1,orb,  revolve,circle, circulate
parody	  1,act, play, represent,2,spoof, burlesque, mock
create	  1,make, 2,3,act, move,4,appoint, charge,5, make,make, 6,produce, make, create
grapple	  1,cope, get by, make out, make do, contend,  deal, manage,act, move,2, grip,seize, prehend, clutch
sell	  1,exchange, change, interchange,2,be,3,deal,  trade,transact,4,persuade,5,surrender, cede, deliver, give up,6,betray, deceive, lead on, delude, cozen,7,be,8,be
outfit	  1,equip, fit, fit out, supply, provide, render, furnish
rely	  1,trust, swear,  bank,believe
bronze	  1,dye,2,tan, discolor, discolour, colour, color
license	  1, licence, certify,authorize, authorise, pass, clear
riddle	  1,pierce,2,perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound,3, screen,sift, sieve, strain,4,permeate, pervade, penetrate, interpenetrate, diffuse, imbue, penetrate, perforate,5,communicate, intercommunicate,6,solve, work out, figure out, puzzle out, lick, work
become	  1, go, get,change state, turn,2, turn,transform, transmute, metamorphose,3,4, suit,fancify, beautify, embellish, prettify
find	  1, happen, chance, bump, encounter,2,detect, observe,  discover, notice,sight,3, regain,get, acquire,4,determine,  find out, ascertain,5, feel,reason, reason out, conclude,6,witness,  see,experience, undergo, see, go through,7,line up, get hold, come up, get, acquire,8,discover, gestate, conceive, conceptualize, conceptualise,9,discover, learn, hear, get word, get wind, pick up, find out, get a line, discover, see,10,get, acquire,11,rule, pronounce, label, judge,12,receive, get,  obtain, incur,change,13,perceive, comprehend,14,recover, retrieve,  regain,get, acquire,15,reach, make, attain, hit, arrive at, gain,16,find oneself, mature, maturate, grow
fly	  1, wing,travel, go, move, locomote,2,move,3, aviate, pilot,operate, control,4,transport, carry,5,6,travel, go, move, locomote,7,change,8, fell, vanish,elapse, lapse, pass, slip by, glide by, slip away, go by, slide by, go along,9,travel,10,show,11,flee,  take flight,scat, run, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away,12,travel, journey,13,hit,14,vanish,  vaporize,decrease, diminish, lessen, fall
regulate	  1, modulate,adjust, set, correct,2, regularize, regularise, order, govern,decide, make up one's mind, determine,3,determine, shape, mold, influence, cause, do, make,4,baffle, restrict, restrain, trammel, limit, bound, confine, throttle
clash	  1,collide, hit, strike, impinge on, run into, collide with,2, jar, collide,conflict,3,disagree, differ, dissent, take issue
reason	  1, reason out, conclude,think, cogitate, cerebrate,2,argue, present, represent, lay out,3,think, cogitate, cerebrate
sweep	  1,brush, move,2, sail,move,3, broom,wipe, pass over,4,embroil, tangle,  sweep up, drag, drag in,involve,5,cross, traverse, span, cover, continue, extend,6,clean, make clean,7,win,8,cover, continue, extend,9,swing,  swing out,wield, handle
rev	  1,rev up, increase
regulate	  1, modulate,adjust, set, correct,2, regularize, regularise, order, govern,decide, make up one's mind, determine,3,determine, shape, mold, influence, cause, do, make,4,baffle, restrict, restrain, trammel, limit, bound, confine, throttle
crisp	  1,wrinkle, ruckle, crease, crinkle, scrunch, scrunch up, fold, fold up, turn up,2,crispen, toast, heat, heat up
slot	  1,schedule
bolster	  1, bolster up,reinforce, reenforce,2,prop up, prop, shore up, shore,3,pad, fill, fill up, make full
decline	  1,worsen, change state, turn,2,refuse, reject, pass up, turn down, 3,refuse, react, respond,4, go down, wane,decrease, diminish, lessen, fall,5,drop,6, slump, correct,descend, fall, go down, come down,7,inflect
scent	  1,odorize, odourise, cause to be perceived,2, nose, wind,smell,3,perfume, groom, neaten
overlook	  1,miss, lose,2,look out on, look out over,  look across,lie,3,neglect, pretermit, omit, drop, miss, leave out,  overleap,4,dominate, command,  overtop,lie,5,survey
referee	  1, umpire,judge,2, peer review,review, critique
flight	  1,shoot, pip,2,fly, wing,3,fledge, decorate, adorn, grace, ornament, embellish, beautify
buck	  1,endeavor, endeavour, strive,2, go against,react, oppose,3,tear, shoot, shoot down, charge, rush, hotfoot, hasten, hie, speed, race, pelt along, rush along, cannonball along, bucket along, belt along,4, jerk, hitch,move
transfer	  1, shift,move, displace,2, reassign,delegate, designate, depute, assign,3,move, displace,4,transplant, displace, force out,5,6, change,travel, go, move, locomote,7,transmit,  transport, channel, channelize, channelise,move, displace,8,remove,  shift,9, transpose, transplant,shift
cinch	  1, girth,fasten, fix, secure,2,see, check, insure, see to it, ensure, control, ascertain, assure,3,master, control
demand	  1,request, bespeak, call for, quest,2,necessitate, ask, postulate, need, require, take, involve, call for, 3, exact,claim,4,claim,5,summon, summons, cite,6,request, bespeak, call for, quest
plant	  1, set,put, set, place, pose, position, lay,2,im engraft, embed, imbed, insert, infix, enter, introduce,3,establish, found,  constitute, institute,initiate, pioneer,4,stock,5,put, set, place, pose, position, lay,6, imcommunicate, pass on, pass, pass along, put across
advocate	  1,recommend, urge, propose, suggest, advise,2,preach, urge, urge on, press, exhort
shove	  1,jostle, push, force,2,push, force,3,thrust, stuff,  squeeze,push, force
batch	  1,group
inconvenience	  1,trouble, put out,  disoblige, discommode, incommode, bother,affect, impact, bear upon, bear on, touch on, touch
barricade	  1, block, blockade, stop, block off, block up, bar,obstruct, obturate, impede, occlude, jam, block, close up,2,obstruct, obturate, impede, occlude, jam, block, close up,3, barricado,obstruct, obturate, impede, occlude, jam, block, close up
engineer	  1,design, plan,2,mastermind,  direct, organize, organise, orchestrate,plan
shower	  1,lavish, consume, squander, waste, ware,2,spray,3,bathe,4, shower down,rain, rain down,5,provide, supply, ply, cater
enrich	  1,better, improve, amend, ameliorate, meliorate,2,add
settle	  1, settle down,put, set, place, pose, position, lay,2,decide,  resolve, adjudicate,end, terminate,3, square off, square up, determine,conclude, resolve,4, locate,5,reconcile, patch up, make up, conciliate, agree, hold, concur, concord,6,sink,  go down, go under,descend, fall, go down, come down,7, root, take root, steady down, settle down,stabilize, stabilise,8,become, go, get,9,build up, develop,10,stop, halt,11,change,12,arrange, set up,13,accept, consent, go for,14,agree, hold, concur, concord,15,arrange, fix up,16,sink,17,subside, sink,  go down, go under,18,ensconce, put, set, place, pose, position, lay,19, get back,contend, fight, struggle,20,finalize, finalise,  nail down,end, terminate,21,22,fall, descend, come
lean	  1, tilt, tip, slant, angle,bend, flex,2,put, set, place, pose, position, lay,3,tend, be given,  incline, run,be,4,trust, swear, rely, bank,5,list, move
disappoint	  1, let down,thwart, queer, spoil, scotch, foil, cross, frustrate, baffle, bilk
awaken	  1, wake, waken, rouse, wake up, arouse,change, alter, modify,2,wake up, awake, arouse,  wake, come alive, waken,change state, turn,3,affect, impress, move, strike
regret	  1,repent,  rue,feel, experience,2,miss,3,refuse, decline,4,inform
anguish	  1,suffer,2,pain,  hurt,upset, discompose, untune, disconcert, discomfit
underline	  1,underscore,  emphasize, emphasise,stress, emphasize, emphasise, punctuate, accent, accentuate,2, underscore,mark
confirm	  1, corroborate, sustain, substantiate, support, affirm,2, reassert,affirm,3,strengthen, beef up, fortify,4,approve, O.K., okay, sanction,5,covenant
shirt	  1,dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel
fade	  1, melt,weaken,2, wither,disappear, vanish, go away,3,evanesce,  blow over, pass off, fleet, pass,disappear, vanish, go away,4,languish, devolve, deteriorate, drop, degenerate
people	  1, populate,fill, fill up, make full,2, populate,dwell, live, inhabit
esteem	  1,respect,  value, prize, prise,see, consider, reckon, view, regard,2,think of, repute, regard as, look upon, look on,  take to be,think, believe, consider, conceive
advise	  1,rede,  counsel,hash out, discuss, talk over,2, notify, give notice, send word, apprise, apprize,inform,3,propose, suggest, declare
spear	  1,transfix, impale, empale, spike,2, spear up,stick out, protrude, jut out, jut, project
cheque	  1, check out,withdraw, draw, take out, draw off
negotiate	  1,negociate,  talk terms,hash out, discuss, talk over,2,pass, go through, go across
flow	  1, flux,move,2,run,  feed, course,move,3,4,exist, be,5,hang, fall, 6,flood,7,menstruate, shed blood, bleed, hemorrhage
holiday	  1,vacation, spend, pass
fly	  1, wing,travel, go, move, locomote,2,move,3, aviate, pilot,operate, control,4,transport, carry,5,6,travel, go, move, locomote,7,change,8, fell, vanish,elapse, lapse, pass, slip by, glide by, slip away, go by, slide by, go along,9,travel,10,show,11,flee,  take flight,scat, run, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away,12,travel, journey,13,hit,14,vanish,  vaporize,decrease, diminish, lessen, fall
impede	  1, hinder,prevent, keep,2,obstruct, obturate,  occlude, jam, block, close up, hinder
freeze	  1,change state, turn,2, stop dead,stand still,3,suffer,4,change, alter, modify,5, suspend,interrupt, break,6,7, freeze out, freeze down,solidify,8, block, immobilize, immobilise,withhold, keep back,9,anesthetize, anaesthetize, anesthetise, anaesthetise, put to sleep, put under, put out,10,act, behave, do
lower	  1, take down, let down, get down, bring down,move, displace,2, lour,devalue,3, depress,change, alter, modify,4,turn down,  lour,decrease, lessen, minify,5,frown, g lour, grimace, make a face, pull a face
castigate	  1,chastise,  objurgate, chasten, correct,call on the carpet, take to task, rebuke, rag, trounce, reproof, lecture, reprimand, jaw, dress down, call down, scold, chide, berate, bawl out, remonstrate, chew out, chew up, have words, lambaste, lambast,2,punish, penalize, penalise
cheek	  1,talk, speak
cheer	  1, hearten, recreate, embolden,encourage,2,applaud,3, cheer up, jolly along, jolly up,4, cheer up, chirk up,rejoice, joy,5, inspire, urge, barrack, urge on, exhort, pep up,encourage
edge	  1, inch,advance, progress, pass on, move on, march on, go on,2,border, supply, provide, render, furnish,3,border, adjoin,  abut, march, butt, butt against, butt on,touch, adjoin, meet, contact,4,sharpen
starve	  1, hunger, famish,suffer, hurt,2, famish,die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it,3, famish,deprive,4,crave, hunger, thirst,  lust,desire, want,5,deprive
blink	  1, wink, nictitate, nictate,act involuntarily, act reflexively,2,wink,  blink away,suppress, stamp down, inhibit, subdue, conquer, curb,3,flash,  wink, twinkle, winkle,radiate
state	  1, say, tell,express, verbalize, verbalise, utter, give tongue to,2,submit,  put forward, posit,propose, suggest, advise,3,express, denote, refer
honeymoon	  1,vacation, holiday
endeavour	  1,endeavor,  strive,try, seek, attempt, essay, assay
presume	  1,assume,  take for granted,expect, anticipate,2,make bold, dare, act, move,3,testify, bear witness, prove, evidence, show,4,act, behave, do
poll	  1, canvass, canvas,survey,2,vote,3,get, acquire,4, pollard,snip, clip, crop, trim, lop, dress, prune, cut back
reincarnate	  1, transmigrate,be born,2, renew,regenerate, restore, rejuvenate
question	  1, oppugn, call into challenge,2,interrogate, ask,3, query,ask,4,interview, converse, discourse,5,wonder, chew over, think over, meditate, ponder, excogitate, contemplate, muse, reflect, mull, mull over, ruminate, speculate
retire	  1,leave office, quit, step down, resign,2, withdraw,discontinue, stop, cease, give up, quit, lay off,3,withdraw, retreat, pull away, draw back, recede, pull back,  move back,travel, go, move, locomote,4,recede, fall back, withdraw, retreat, pull away, draw back, recede, pull back,  move back,5,recall,6,adjourn, withdraw, close up, close, fold, shut down, close down,7,fire, give notice, can, dismiss, give the axe, send away, sack, force out, give the sack, terminate,8, pension off,discard, fling, toss, toss out, toss away, chuck out, cast aside, dispose, throw out, cast out, throw away, cast away, put away,9, withdraw,tire, pall, weary, fatigue, jade,10,put out, toy, fiddle, diddle, play,11, strike out,12,go to bed, turn in, bed, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire
table	  1,postpone, prorogue, hold over, put over,  shelve, set back, defer, remit, put off,delay
load	  1, lade, laden, load up,fill, fill up, make full,2, charge,fill, fill up, make full,3,put, set, place, pose, position, lay
jostle	  1,make, work,2, shove,push, force
tweak	  1,pinch, squeeze, twinge, tweet, nip, twitch,2,pluck,  pull off, pick off,pull, draw, force,3,fine-tune, tune, tune up
torment	  1, torture, excruciate, rack,pain, anguish, hurt,2, rag, bedevil, crucify, dun, frustrate,harass, hassle, harry, chivy, chivvy, chevy, chevvy, beset, plague, molest, provoke,3,torture, excruciate, injure, wound
complain	  1, kick, plain, sound off, quetch, kvetch,2,charge
sharpen	  1,change, alter, modify,2,intensify, compound, heighten, deepen,3,intensify, deepen,4,focus, focalize, focalise, adjust, set, correct,5,change intensity,6,change, alter, modify,7, taper, point,change shape, change form, deform,8, heighten,intensify, compound, heighten, deepen
customise	  1,custom-make, customize,  tailor-make,produce, make, create,2,customize, construct, build, make,change, alter, modify
shape	  1,determine,  mold, influence, regulate,cause, do, make,2, form, work, mold, mould, forge,create from raw material, create from raw stuff,3, form,change, alter, modify
confront	  1, face,meet, encounter, play, take on,2, face up, face,set about, go about, approach,3, face, present,4,front, look, face
ignore	  1, disregard, snub, cut,treat, handle, do by,2,dismiss, disregard, brush aside, brush off, discount, push aside, reject,3,4,neglect,  disregard,5,ignore
collect	  1,roll up,  accumulate, pile up, amass, compile, hoard,store, hive away, lay in, put in, salt away, stack away, stash away,2, take in,take,3,gather, garner,  pull together,4, pull in,roll up,  accumulate, pile up, amass, compile, hoard,5, pick up, gather up, call for,get, acquire
distrust	  1, mistrust, suspect,disbelieve, discredit
retire	  1,leave office, quit, step down, resign,2, withdraw,discontinue, stop, cease, give up, quit, lay off,3,withdraw, retreat, pull away, draw back, recede, pull back,  move back,travel, go, move, locomote,4,recede, fall back, withdraw, retreat, pull away, draw back, recede, pull back,  move back,5,recall,6,adjourn, withdraw, close up, close, fold, shut down, close down,7,fire, give notice, can, dismiss, give the axe, send away, sack, force out, give the sack, terminate,8, pension off,discard, fling, toss, toss out, toss away, chuck out, cast aside, dispose, throw out, cast out, throw away, cast away, put away,9, withdraw,tire, pall, weary, fatigue, jade,10,put out, toy, fiddle, diddle, play,11, strike out,12,go to bed, turn in, bed, crawl in, kip down, hit the hay, hit the sack, sack out, go to sleep, retire
entice	  1, lure, tempt,provoke, stimulate
penalize	  1,punish,  penalise
hint	  1, suggest,convey, impart
stream	  1,float, drift, be adrift, blow,2,exude, exudate, transude, ooze out, ooze,3,pour, swarm,  teem, pullulate,crowd, crowd together,4,pour, pelt,  rain cats and dogs, rain buckets,rain, rain down,5, well out,run, flow, feed, course
candy	  1,sugarcoat, glaze, sweeten, dulcify, edulcorate, dulcorate
modernize	  1,overhaul,  modernise,regenerate, renew,2, modernise, develop,change
pride	  1, plume, congratulate,feel, experience
prop	  1,prop up,  shore up, shore,hold, support, sustain, hold up
weaken	  1,change, alter, modify,2,decrease, diminish, lessen, fall,3,sabotage, undermine, countermine, counteract, subvert, disobey,4,de-escalate,  step down,decrease, lessen, minify,5,dampen, damp, soften,  break,deaden, blunt
contrast	  1,distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell, tell apart,2, counterpoint,differ
beleaguer	  1,tease, badger, pester, bug, torment, rag, bedevil, crucify, dun, frustrate,2,besiege,  surround, hem in, circumvent,attack, assail
assume	  1, presume, take for granted,expect, anticipate,2, adopt, take on, take over,take office,3, acquire, adopt, take on, take,change,4,bear, take over, accept, take,5, take, strike, take up,move,6, usurp, seize, take over, arrogate,take,7,simulate,  sham, feign,dissemble, pretend, act,8,receive, take in, invite,9,wear, put on, get into, don, dress, get dressed
jump	  1, leap, bound, spring,move,2,startle,  start,move,3,assail, assault, set on, attack,4,wax, mount, climb, rise,5,leap out, jump out,  stand out, stick out,look, appear, seem,6,enter, participate,7,rise,  climb up,change,8, leap, jump off,move,9,derail, travel, go, move, locomote,10,chute, parachute, dive, plunge, plunk,11, leap,12,jumpstart, jump-start, start, start up,13, pass over, skip, skip over,neglect, pretermit, omit, drop, miss, leave out, overlook, overleap,14,leap, switch, shift, change,15,alternate, change, alter, vary
raid	  1, bust,attack, assail,2,foray into, intrude on, invade, obtrude upon, encroach upon,3,assume, usurp, seize, take over, arrogate,4,search
